fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person (Rs),Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages (in lakhs),Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure (in lakhs),Total_Exp (in Lakhs),Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages (in lakhs),Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,34,JHARKHAND,3423,RAMGARH,875629,268.6808842,36,158,441.1217046,1868,31,15725,888223,43833,8047,213852,27690,57.99624,2885.603355,24485,29160,61674,101881,253,140195,221533,17593,2386.48541,403524,95,95.26,0.47,99.78,NA
2024-2025,July,34,JHARKHAND,3405,PALAMU,2273510,273.2772877,26,290,738.0585539,8636,4,59366,1774085,389308,73367,138501,23962,204.32484,5790.554764,66712,78345,198682,276895,90,405776,550850,68002,4848.17137,812480,94,86.67,7.97,99.77,NA
2024-2025,July,34,JHARKHAND,3413,SAHEBGANJ,1376079,276.745559,28,145,701.8278101,3849,6,28782,1200915,34479,6711,254897,46554,99.37809,4124.68483,41515,44534,126598,159353,23,347012,427485,32631,3323.47893,595558,91,86.81,5.26,99.89,NA
2024-2025,July,34,JHARKHAND,3418,KODERMA,798814,274.2820496,31,68,563.9386453,3745,5,14954,845713,72693,9042,11295,1062,61.76273,2945.340325,26823,29423,63358,81004,53,153216,194571,18699,2319.63895,431837,90,79.53,7.99,99.35,NA
2024-2025,July,34,JHARKHAND,3422,DEOGHAR,2771000,270.3280938,35,306,2062.252595,5745,0,31676,2971574,179898,24435,293313,28566,157.30658,10252.55852,83230,90974,189844,272816,170,397507,581314,37421,8032.99935,1286738,92,92.44,3.06,99.93,NA
2024-2025,July,34,JHARKHAND,3423,RAMGARH,875629,269.8080893,37,159,447.032192,1892,31,15976,931110,46774,8075,223872,27778,57.99624,3017.238532,25094,29945,61813,102148,299,140246,221683,17868,2512.2101,424315,95,95.1,0.46,99.76,NA
2024-2025,Sep,34,JHARKHAND,3402,LOHARDAGA,725772,272.9855092,32,87,581.8635261,2873,0,15823,600586,32027,4975,359123,70115,67.85802,2289.234296,18588,23690,53074,113002,160,99167,196868,18696,1639.51275,305999,96,83.71,0.16,99.52,NA
2024-2025,Sep,34,JHARKHAND,3403,GUMLA,2013699,269.4861657,36,136,1868.186461,2761,1,37245,1663225,51551,6820,986862,124782,116.66407,6467.011811,45739,52086,113124,196767,303,220258,369460,40006,4482.16128,674178,94,91.71,6.67,98.67,NA
2024-2025,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1822055,270.9386963,29,158,623.6295621,8488,7,26114,1229746,50064,10937,404082,89518,103.05636,4058.543702,42137,51415,114424,217080,87,235960,418377,34602,3331.85778,612094,93,90.06,2.37,99.38,NA
2024-2025,Sep,34,JHARKHAND,3417,CHATRA,2893683,272.8598301,29,60,1580.81127,6098,1,35306,2602620,641566,51977,127057,9347,116.66668,8798.98246,87159,96873,159757,195042,130,275436,328242,41404,7101.50451,1317456,97,96.6,1.04,99.41,NA
2024-2025,Sep,34,JHARKHAND,3419,GIRIDIH,5528113,270.4497913,29,536,2458.769021,10967,17,68938,3536607,199702,32021,301122,34948,281.46159,12304.97686,118558,125874,281774,369876,120,653522,864974,79905,9564.74625,1868521,94,93.6,2.91,99.58,NA
2024-2025,Aug,34,JHARKHAND,3408,WEST SINGHBHUM,1840249,270.5960618,29,124,1111.605082,6872,4,38588,1671085,37648,5528,1170278,159233,133.58576,5767.081042,56968,61990,151170,224580,146,354625,518058,45460,4521.8902,810979,89,82.13,10.32,99.29,NA
2024-2025,Aug,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1600893,271.0614459,28,158,623.4889421,8488,7,25987,1204995,48967,10929,395824,89459,72.45052,3962.216332,41865,51042,114382,216915,80,234450,416197,34475,3266.27687,598831,93,90.57,2.37,99.46,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,270.2149701,29,92,1159.244691,6183,0,28717,1953974,148876,14533,402838,42157,67.14566,6506.320611,67366,73366,130947,177522,92,229577,299862,34900,5279.93026,878943,94,96.31,1.12,99.33,NA
2024-2025,Aug,34,JHARKHAND,3413,SAHEBGANJ,1633163,275.8651837,29,145,1172.002242,3867,6,28791,1250183,36426,6706,269888,46546,99.37809,4720.199962,42294,45410,126685,159452,44,347066,427509,32658,3448.81963,622088,91,86.77,5.03,99.64,NA
2024-2025,Aug,34,JHARKHAND,3413,SAHEBGANJ,1633163,275.7622354,29,145,1172.002242,3872,6,28786,1251208,36427,6710,269991,46548,99.37809,4721.739482,42300,45416,126689,159461,44,347132,427585,32658,3450.35915,622705,91,86.74,5.02,99.63,NA
2024-2025,Aug,34,JHARKHAND,3415,GODDA,1787429,272.6479419,32,129,1207.248915,4417,7,35870,1655944,61431,9849,326011,39542,102.54961,5824.69576,50524,55189,131262,194002,57,302369,439879,40287,4514.897235,776925,92,89.11,5.82,99.48,NA
2024-2025,Aug,34,JHARKHAND,3418,KODERMA,948051,275.4384062,31,69,578.3315006,3827,5,14937,856694,74051,9063,11612,1062,61.76273,2999.758531,26982,29614,63380,81048,55,153421,194796,18764,2359.6643,437543,90,79.36,7.96,99.03,NA
2024-2025,Aug,34,JHARKHAND,3422,DEOGHAR,3288688,271.5943321,36,314,2308.629218,6138,0,32314,3096025,190180,24527,304399,28599,157.30658,10874.56422,84448,92445,190206,273349,213,399053,583069,38452,8408.62842,1340652,92,91.87,3.07,99.79,NA
2024-2025,Aug,34,JHARKHAND,3404,SIMDEGA,1636707,278.4281416,29,117,1382.908185,5253,0,24531,1162306,110821,14526,713903,102135,68.9646,4688.05978,39571,44557,94454,155428,318,169610,271954,29784,3236.186995,524164,94,90.21,1.7,99.01,NA
2024-2025,Aug,34,JHARKHAND,3401,RANCHI,1769238,274.161487,34,147,1423.671127,4164,9,37919,1953786,90697,12795,748714,104938,232.01341,7012.213287,56838,66413,150920,246922,384,346946,524908,42083,5356.52875,933596,93,93.69,1.3,99.14,NA
2024-2025,Aug,34,JHARKHAND,3403,GUMLA,1769274,269.2073377,36,136,1865.801461,2758,1,37227,1656312,51249,6819,982932,124766,92.8767,6417.591601,45679,52018,113103,196727,300,219252,368181,39985,4458.91344,671637,94,91.7,6.69,98.55,NA
2024-2025,Aug,34,JHARKHAND,3406,LATEHAR,2778539,270.5397874,30,490,854.8900668,8172,0,30270,2021718,264099,22573,639575,51192,104.54286,6428.984507,66754,72590,123147,154275,99,188294,234134,38442,5469.55158,961764,97,64.79,32.18,99.35,NA
2024-2025,Aug,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1600893,271.0613281,28,158,623.4889421,8488,7,25992,1207162,49062,10929,396506,89462,72.45052,3968.088812,41888,51071,114389,216925,82,234468,416219,34480,3272.14935,600126,93,90.55,2.37,99.46,NA
2024-2025,Aug,34,JHARKHAND,3416,HAZARIBAGH,2514734,276.0526941,32,278,1429.479246,5236,17,32269,2314151,261207,34618,139803,15962,127.39165,7945.147076,72181,79424,160839,219888,244,365945,504612,37505,6388.27618,1168611,95,95.64,1.7,99.62,NA
2024-2025,Aug,34,JHARKHAND,3419,GIRIDIH,4857104,271.8517181,29,533,2451.995852,10818,17,68535,3395877,188977,31946,286422,34920,262.41514,11946.16096,116196,123388,281338,369400,103,647593,858866,79353,9231.74997,1790981,94,93.64,3.03,99.55,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.0622048,37,158,798.2765544,2266,30,15619,934413,46878,8074,224462,27768,57.99624,3398.457404,25115,29960,61803,102138,299,140285,221735,17885,2542.18461,425829,95,95.22,0.45,99.51,NA
2024-2025,June,34,JHARKHAND,3402,LOHARDAGA,414495,271.328419,24,66,8.28483,1236,0,16277,364848,20039,4942,228857,69830,37.02968,1035.25082,14754,18395,52357,112292,34,98038,195710,17513,989.93631,184737,96,86.13,0.05,99.8,NA
2024-2025,June,34,JHARKHAND,3410,EAST SINGHBUM,963182,265.9418568,19,59,71.14805565,1929,54,31255,468688,16661,9383,204337,106305,56.90528,1374.490906,23481,26868,113836,223041,6,277449,498938,33184,1246.43757,246402,94,89.66,6.01,99.75,NA
2024-2025,June,34,JHARKHAND,3416,HAZARIBAGH,1634592,274.7927863,26,239,150.8994871,3059,19,30856,1615622,177721,34031,95468,15724,97.36517,4687.877367,61503,67299,158288,216665,30,363856,502536,33915,4439.61271,809787,95,97.19,1.62,99.81,NA
2024-2025,June,34,JHARKHAND,3419,GIRIDIH,3157149,266.812787,24,434,194.7450904,6588,20,65660,2438266,130090,31891,200646,35411,177.0727,6877.42326,100967,106741,284686,374054,22,650924,864247,72248,6505.60547,1280078,94,94.55,3.4,99.81,NA
2024-2025,June,34,JHARKHAND,3402,LOHARDAGA,414495,270.305138,24,70,8.28483,1238,0,16301,372438,20352,4945,232769,69846,37.02968,1052.03356,14908,18612,52390,112352,37,98046,195723,17539,1006.71905,188686,96,85.88,0.07,99.81,NA
2024-2025,June,34,JHARKHAND,3418,KODERMA,616240,274.9144356,25,60,12.1014079,2546,5,14869,584355,45519,8862,7999,1077,40.19767,1658.775328,22734,24832,62761,80374,12,153407,194992,17415,1606.47625,294239,89,81.59,10.51,99.49,NA
2024-2025,June,34,JHARKHAND,3420,BOKARO,1179568,274.7089715,27,161,56.14271676,4311,31,32716,1035490,95620,26244,148768,35240,87.85724,2988.583886,37385,41614,136371,206825,75,381232,551350,37027,2844.583929,498428,96,96.33,1.73,99.85,NA
2024-2025,June,34,JHARKHAND,3421,DHANBAD,948895,265.5795562,21,83,40.50833151,4376,22,35934,684579,52203,15267,114502,22200,79.62978,1938.239982,31935,35779,105786,147672,6,302431,393148,40310,1818.10187,305521,95,93.41,3.46,99.86,NA
2024-2025,Aug,34,JHARKHAND,3405,PALAMU,2698255,272.8921843,27,290,1396.533213,8744,4,59599,1820839,398238,73337,143962,23952,215.65064,6581.111173,67025,78755,198570,276786,90,407963,553249,68343,4968.92732,836436,94,86.67,7.9,99.33,NA
2024-2025,Aug,34,JHARKHAND,3411,DUMKA,2701978,272.6842093,35,104,1490.438144,5200,0,35837,2547374,114363,10994,687558,68609,125.64925,8562.374044,72324,78110,150751,213549,98,328440,469012,41037,6946.28665,1186648,94,91.27,6.08,99.77,NA
2024-2025,Aug,34,JHARKHAND,3412,JAMTARA,2027739,269.5275722,29,94,1159.244691,6224,0,31136,2056869,157729,14551,420550,42229,92.51663,6795.590401,69022,75328,131209,177864,124,231818,302286,37360,5543.82908,928333,94,96.11,1.22,99.41,NA
2024-2025,Aug,34,JHARKHAND,3417,CHATRA,2542445,272.7193658,29,61,1580.359833,6065,1,35083,2595304,639614,51968,126607,9338,103.84992,8762.106363,87060,96759,159752,194974,129,270846,323064,41148,7077.89661,1313694,97,96.68,1.03,99.41,NA
2024-2025,Aug,34,JHARKHAND,3422,DEOGHAR,3288688,271.9352968,37,315,2308.629218,6195,0,33020,3150646,194437,24550,310272,28618,164.31464,11040.66241,84983,93076,190375,273600,243,400649,584870,39215,8567.71855,1365200,93,91.76,3.06,99.81,NA
2024-2025,Aug,34,JHARKHAND,3423,RAMGARH,1039217,272.06208,37,158,798.2765544,2266,30,15619,936292,47237,8075,225132,27770,57.99624,3403.568284,25117,29969,61803,102148,299,140500,221989,17885,2547.29549,426838,95,95.1,0.45,99.51,NA
2024-2025,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1822055,271.0426476,29,158,623.4889421,8488,7,26075,1226401,50028,10933,403801,89492,86.22811,4033.786792,42120,51397,114426,217016,87,234666,416498,34563,3324.06974,610642,93,90.04,2.38,99.38,NA
2024-2025,Sep,34,JHARKHAND,3417,CHATRA,2893683,272.6819874,29,61,1580.359833,6065,1,35098,2596510,639968,51969,126754,9338,103.84992,8764.424823,87073,96774,159753,194976,129,271153,323391,41163,7080.21507,1314313,97,96.66,1.03,99.41,NA
2024-2025,Sep,34,JHARKHAND,3418,KODERMA,1079024,275.324294,31,69,578.3315006,3844,5,15017,864296,75056,9071,11798,1062,66.11557,3024.063931,27097,29743,63396,81076,56,153735,195128,18861,2379.61686,441648,90,79.26,7.91,99.03,NA
2024-2025,Sep,34,JHARKHAND,3403,GUMLA,2013699,269.5376447,36,136,1865.801461,2761,1,37245,1662345,51539,6821,986028,124776,108.29849,6454.745511,45735,52084,113119,196751,303,219402,368358,40006,4480.64556,673956,94,91.69,6.69,98.7,NA
2024-2025,Sep,34,JHARKHAND,3404,SIMDEGA,1862818,279.0749124,30,121,1382.908185,5268,0,24739,1237426,118084,14553,756960,102264,71.44629,4907.7,40316,45477,94618,155653,384,169910,272290,30007,3453.345525,559086,94,89.76,1.82,99.22,NA
2024-2025,Sep,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1822055,271.0426476,29,158,623.4889421,8488,7,26075,1226401,50028,10933,403801,89487,86.22811,4033.786792,42120,51397,114426,217008,87,234611,416411,34563,3324.06974,610642,93,90.04,2.38,99.38,NA
2024-2025,Sep,34,JHARKHAND,3414,PAKUR,1578888,272.5596825,34,33,932.8632596,5338,0,26033,1271344,26278,3375,350904,43966,76.17783,4474.21226,36951,39306,94306,122569,71,222328,284766,31371,3465.17117,623962,97,90.07,2.49,99.7,NA
2024-2025,Sep,34,JHARKHAND,3422,DEOGHAR,3743020,271.9352968,37,315,2308.629218,6195,0,33020,3150646,194437,24550,310272,28618,164.31464,11040.66241,84983,93076,190375,273600,243,400649,584870,39215,8567.71855,1365200,93,91.76,3.06,99.81,NA
2024-2025,Sep,34,JHARKHAND,3424,KHUNTI,952060,271.0260992,30,101,474.3853064,1013,0,22154,634770,23956,4533,443382,68047,44.13818,2238.915856,20656,24111,60031,96962,100,149117,239113,23167,1720.39237,271157,97,91.43,0.95,98.93,NA
2024-2025,May,34,JHARKHAND,3401,RANCHI,745367,274.138186,16,98,26.0538484,1499,17,33405,593946,28904,12520,218025,103115,123.82268,1778.109318,35427,40184,146161,241863,1,344655,523990,34904,1628.23279,281527,92,96.53,2.59,99.49,NA
2024-2025,May,34,JHARKHAND,3402,LOHARDAGA,268649,259.752554,15,55,5.54314,260,1,15909,156422,9503,4965,101714,70232,24.05486,435.90814,9991,12037,51970,112730,0,98236,197452,16169,406.31014,77885,96,94.22,0.05,99.68,NA
2024-2025,May,34,JHARKHAND,3407,GARHWA,1807718,265.8869909,17,116,3.8346362,2432,1,49561,1563016,152691,52460,134944,37990,61.38748,4221.078326,87248,102511,242350,355405,0,399835,570373,51993,4155.85621,727062,92,94.2,4.06,99.72,NA
2024-2025,May,34,JHARKHAND,3416,HAZARIBAGH,1059438,280.3912108,16,144,23.2283333,1678,23,29933,645772,72338,33908,37833,15823,59.05562,1892.971883,39983,43335,157631,216752,0,364324,504661,31611,1810.68793,317255,95,97.14,2.13,99.75,NA
2024-2025,May,34,JHARKHAND,3417,CHATRA,1071113,254.6081467,15,31,0.5078302,1580,6,32865,832120,209313,51210,37743,8687,30.17444,2149.32758,52373,57526,156203,191126,0,269652,322438,34445,2118.64531,419578,96,98.61,0.66,99.61,NA
2024-2025,May,34,JHARKHAND,3422,DEOGHAR,1385500,256.8608149,17,207,53.2803215,1515,0,32834,978675,56895,24349,98271,28553,66.59193,2633.704832,57409,61763,188379,272025,0,394905,579936,34349,2513.83258,422645,92,93.54,4.45,99.84,NA
2024-2025,May,34,JHARKHAND,3403,GUMLA,745382,263.5529755,20,94,3.75664,1004,1,34929,656577,20008,6621,391816,122163,23.06156,1757.24642,32119,35449,110617,192513,0,216962,363936,35933,1730.42822,260430,93,88.29,10.91,99.61,NA
2024-2025,May,34,JHARKHAND,3407,GARHWA,1807718,263.168731,20,137,3.8346362,2766,0,49846,2050495,203046,52550,187686,37882,61.38748,5461.483786,98095,116030,242838,355873,0,399963,570326,52612,5396.26167,955726,92,94.35,3.83,99.79,NA
2024-2025,May,34,JHARKHAND,3406,LATEHAR,1170577,269.7728609,18,405,2.78737,3609,0,27776,937989,120462,22627,279927,51175,31.54977,2564.7769,52030,56047,122956,155004,0,188678,235737,31385,2530.43976,445338,97,48.11,51.25,99.73,NA
2024-2025,May,34,JHARKHAND,3408,WEST SINGHBHUM,775283,262.2175995,17,74,23.9283737,1147,6,35964,605893,12818,5372,432140,156981,62.95288,1675.639334,34290,36713,147526,220589,0,353134,518261,37111,1588.75808,289539,87,85.38,13.66,99.66,NA
2024-2025,May,34,JHARKHAND,3411,DUMKA,1138323,267.7184441,22,86,0.69568,2254,6,30624,1259210,55023,10956,346738,69320,38.45847,3410.29157,56841,60942,151218,215228,1,326988,469581,32878,3371.13742,584958,92,94.91,3.93,99.83,NA
2024-2025,May,34,JHARKHAND,3404,SIMDEGA,689532,285.3586718,18,78,3.215,2081,0,23748,510022,47662,14777,315500,104392,19.92901,1478.536015,28214,30803,95504,158882,1,171161,276821,25829,1455.392005,222258,94,93.45,2.55,99.74,NA
2024-2025,May,34,JHARKHAND,3408,WEST SINGHBHUM,775283,264.911199,17,74,23.9283737,884,6,35982,575286,12005,5351,410183,157083,62.95288,1610.878294,33591,35962,147478,220618,0,353219,518510,36866,1523.99704,275061,87,85.23,13.83,99.79,NA
2024-2025,May,34,JHARKHAND,3412,JAMTARA,854271,265.7735203,17,77,7.71055,2591,2,27765,892910,68695,14667,184794,42525,23.08184,2403.91073,51603,55385,131629,179288,0,229453,301114,30356,2373.11834,395811,93,97.6,1.55,99.89,NA
2024-2025,May,34,JHARKHAND,3422,DEOGHAR,1385500,267.3474012,20,237,54.9303569,1959,0,32420,1354529,79148,24179,135912,28255,66.59193,3742.820367,65582,70835,187527,269979,0,393656,577247,34379,3621.29808,586554,92,93.51,4.48,99.9,NA
2024-2025,May,34,JHARKHAND,3407,GARHWA,1807718,267.6839579,18,120,3.8346362,2482,1,49519,1666933,162314,52472,141580,38003,61.38748,4527.334346,90175,106087,242534,355634,0,399957,570510,52001,4462.11223,775012,92,94.27,4.03,99.74,NA
2024-2025,May,34,JHARKHAND,3408,WEST SINGHBHUM,775283,268.2129732,15,70,23.9283737,744,6,35666,454245,9273,5331,323479,156474,62.95288,1305.225274,30132,32145,146865,219771,0,352971,518251,36410,1218.34402,216267,87,84.84,14.23,99.73,NA
2024-2025,May,34,JHARKHAND,3411,DUMKA,1138323,271.1742299,18,75,0.69568,1989,7,30432,921558,40620,11059,250841,69638,37.42647,2537.14996,50701,54264,152253,217204,0,328565,472266,32421,2499.02781,429042,92,94.89,4.1,99.84,NA
2024-2025,May,34,JHARKHAND,3420,BOKARO,764520,279.3098625,17,104,24.8057774,1358,43,33320,474728,43663,26838,66409,35360,57.77409,1408.541991,26893,29611,136890,209297,1,382860,555636,34678,1325.962124,227998,96,96.89,2.1,99.82,NA
2024-2025,May,34,JHARKHAND,3421,DHANBAD,615013,260.3361692,14,45,8.7990392,2660,36,35444,320654,22421,15157,55090,22371,77.08778,920.6651592,22861,25616,105453,147962,0,303094,394852,38104,834.77834,140870,95,94.55,3.65,99.8,NA
2024-2025,May,34,JHARKHAND,3423,RAMGARH,437815,269.7531542,18,100,10.4179514,161,32,15302,276930,11974,7926,63701,27250,28.46817,785.9135314,14851,17133,60526,100296,0,140019,221671,15463,747.02741,123076,95,98.3,0.56,99.7,NA
2024-2025,July,34,JHARKHAND,3418,KODERMA,798814,274.6996276,31,68,563.9386453,3748,5,14954,848650,72937,9042,11402,1062,61.76273,2956.939765,26851,29463,63350,80998,53,153219,194576,18702,2331.23839,433316,90,79.5,8.01,99.3,NA
2024-2025,July,34,JHARKHAND,3419,GIRIDIH,4092524,270.8489832,28,520,2123.765229,10550,17,68271,3347316,186040,31903,281130,34904,262.41514,11452.35172,115444,122578,281217,369231,99,646439,857653,78821,9066.17135,1765047,94,93.61,3.07,99.8,NA
2024-2025,July,34,JHARKHAND,3422,DEOGHAR,2771000,271.9124941,35,307,2062.252595,5773,0,31706,2983571,181076,24446,294274,28565,157.30658,10332.26149,83359,91131,189893,272888,173,397582,581402,37479,8112.70232,1292038,92,92.4,3.08,99.93,NA
2024-2025,July,34,JHARKHAND,3401,RANCHI,1490734,269.6953988,33,147,692.3714926,4079,9,37673,1855492,87156,12765,708557,104806,229.53631,5926.084353,55934,65252,150659,246492,306,346269,523983,41752,5004.17655,888058,93,93.79,1.32,99.59,NA
2024-2025,July,34,JHARKHAND,3403,GUMLA,1490765,270.1774254,34,133,654.5723176,2611,1,36841,1531297,47337,6799,910799,124423,92.8767,4884.667828,44445,50466,112793,196248,231,218961,367828,39452,4137.21881,618532,94,91.1,7.5,99.41,NA
2024-2025,July,34,JHARKHAND,3404,SIMDEGA,1379066,281.3915102,28,114,498.3554356,5208,0,24276,1100126,104001,14512,678679,102370,68.9646,3662.981201,38793,43539,94510,155616,280,169726,272385,29484,3095.661165,492487,94,89.74,1.81,99.77,NA
2024-2025,July,34,JHARKHAND,3420,BOKARO,1529041,273.4044777,32,199,537.1121918,10144,16,32383,1446067,139886,26402,218331,35185,118.63812,4609.362241,44363,49858,136576,206179,221,380096,548486,42527,3953.611929,702633,97,94.04,1.58,99.86,NA
2024-2025,July,34,JHARKHAND,3401,RANCHI,1490734,271.9410567,33,147,1364.241595,4085,9,37780,1890137,88341,12767,722676,104842,229.53631,6733.836435,56245,65656,150736,246622,333,346346,524131,41865,5140.05853,903927,93,93.83,1.28,99.57,NA
2024-2025,July,34,JHARKHAND,3412,JAMTARA,1708543,268.664417,27,92,1128.753622,5882,2,27116,1766028,133935,14519,367632,42135,67.14566,5940.588112,64532,70059,130715,177282,69,228769,299025,32998,4744.68883,788178,94,96.65,1.13,99.87,NA
2024-2025,July,34,JHARKHAND,3413,SAHEBGANJ,1376079,276.5402906,28,145,701.8278101,3829,6,28749,1194522,34327,6711,253867,46559,99.37809,4104.54051,41399,44412,126560,159320,16,347002,427479,32578,3303.33461,592409,91,86.61,5.39,99.89,NA
2024-2025,July,34,JHARKHAND,3417,CHATRA,2142227,270.8797408,29,58,1466.767857,5468,1,34796,2523990,621509,51972,122678,9329,96.08057,8399.825997,85643,95158,159696,194869,111,269725,321792,40264,6836.97757,1276157,97,97.08,0.92,99.73,NA
2024-2025,July,34,JHARKHAND,3424,KHUNTI,704821,268.6601977,29,89,428.3149076,1001,0,21962,592162,22044,4526,418741,67899,44.13818,2063.356688,20074,23351,59887,96726,77,149062,239051,22963,1590.9036,247797,97,92.58,0.92,99.29,NA
2024-2025,June,34,JHARKHAND,3401,RANCHI,1150016,269.7335458,27,133,60.6487278,3071,11,35595,1326697,62444,12581,500731,103556,153.08361,3792.279198,49019,56531,148422,243271,57,344845,522086,38666,3578.54686,631315,93,95.42,1.84,99.55,NA
2024-2025,June,34,JHARKHAND,3405,PALAMU,1753883,268.3772561,22,212,112.4926312,5835,10,48883,1073369,235366,72208,84519,23506,154.74958,3147.920481,48449,56189,195223,272225,0,404014,548724,54718,2880.67827,487206,93,90.56,6.73,99.73,NA
2024-2025,June,34,JHARKHAND,3406,LATEHAR,1806068,268.4124915,22,431,182.1917414,5649,0,28334,1304308,168921,22535,403576,50935,75.09522,3758.212561,58074,62792,122571,154030,4,187824,234086,33983,3500.9256,618513,97,55.65,43.17,99.76,NA
2024-2025,June,34,JHARKHAND,3407,GARHWA,2789103,268.1650216,27,165,70.57278972,4332,0,52339,3162344,329691,52563,302312,38096,146.6329,8697.50616,116234,139466,241749,353990,20,397823,566556,56671,8480.30047,1473167,92,93.85,3.22,99.7,NA
2024-2025,June,34,JHARKHAND,3408,WEST SINGHBHUM,1196174,266.3927236,22,102,91.07712191,3248,4,36655,969165,20615,5446,690875,157283,99.62975,2772.491912,43669,47158,148665,221459,14,352907,516755,39903,2581.78504,466216,88,84.12,12.1,99.73,NA
2024-2025,June,34,JHARKHAND,3409,SARAIKELA KHARSAWAN,1040590,269.7856248,22,134,18.468428,3936,8,26639,703962,27691,10770,228818,88461,33.4423,1951.099008,31568,37896,112932,214444,8,234021,415777,30575,1899.18828,340944,92,94.92,2.16,99.77,NA
2024-2025,June,34,JHARKHAND,3418,KODERMA,616240,266.374558,25,60,12.1014079,2463,5,14805,566190,43748,8838,7832,1078,40.19767,1560.485188,22321,24374,62714,80315,10,153342,194906,17268,1508.18611,285406,89,81.7,10.6,99.46,NA
2024-2025,June,34,JHARKHAND,3405,PALAMU,1753883,267.9276814,22,233,112.4926312,6031,9,50882,1195529,262645,72396,92931,23587,155.22358,3470.869341,52117,60618,195803,273004,12,404315,549070,56913,3203.15313,543262,94,90.51,6.62,99.76,NA
2024-2025,June,34,JHARKHAND,3406,LATEHAR,1806068,270.1913204,23,436,182.1179174,5946,0,28390,1378975,178769,22518,429911,50897,75.09522,3983.083897,58546,63374,122461,153895,13,187947,234224,34336,3725.87076,653819,97,57.19,41.54,99.79,NA
2024-2025,June,34,JHARKHAND,3407,GARHWA,2789103,268.4282028,28,175,70.57278972,4501,0,52903,3374532,359961,52516,324633,37890,146.6329,9275.40129,119280,143503,241229,352870,41,396830,564748,57404,9058.1956,1570926,92,93.61,3.04,99.72,NA
2024-2025,June,34,JHARKHAND,3410,EAST SINGHBUM,963182,266.1037484,20,60,71.14805565,2099,54,31833,500133,18035,9246,218117,104822,56.90528,1458.925996,24773,28374,112713,219620,8,276068,494954,33932,1330.87266,263815,94,88.98,5.85,99.77,NA
2024-2025,June,34,JHARKHAND,3412,JAMTARA,1318043,267.0419127,23,87,9.17082,3230,2,27580,1379225,104159,14647,288613,42490,51.89788,3744.17752,59422,64177,131677,179040,10,229579,300867,30810,3683.10882,610068,93,97.62,1.34,99.86,NA
2024-2025,June,34,JHARKHAND,3420,BOKARO,1179568,273.8864939,28,169,56.14271676,4683,28,33077,1075934,99375,26314,155822,35198,87.85724,3090.837866,38325,42724,136398,206789,88,381042,550947,37760,2946.837909,518659,96,96.16,1.69,99.86,NA
2024-2025,July,34,JHARKHAND,3403,GUMLA,1490765,269.3720786,31,117,53.93278007,1780,1,35917,1307791,40610,6705,777349,123526,67.61167,3644.36825,41552,46889,112000,194559,128,217542,364346,37697,3522.8238,525458,94,90.77,8.19,99.4,NA
2024-2025,July,34,JHARKHAND,3404,SIMDEGA,1379066,280.2229808,26,102,30.5182399,3771,0,24314,940554,88751,14600,579991,102737,38.64912,2704.815815,36139,40319,94437,156285,148,169849,273472,28085,2635.648455,415353,94,91.12,1.99,99.74,NA
2024-2025,July,34,JHARKHAND,3421,DHANBAD,1230027,266.2160742,23,93,60.72107471,5466,17,36230,812818,62994,15373,135723,22076,79.62978,2304.203025,34827,39130,106107,147863,33,302488,392982,41696,2163.85217,365187,95,92.32,3.51,99.84,NA
2024-2025,Sep,34,JHARKHAND,3419,GIRIDIH,5528113,271.9603577,29,536,2451.995852,10930,17,68807,3490183,196572,31981,297070,34931,273.96514,12217.87516,117962,125257,281569,369653,111,650203,861559,79737,9491.91417,1843282,94,93.58,2.95,99.59,NA
2024-2025,Sep,34,JHARKHAND,3421,DHANBAD,1661499,272.3637451,25,106,437.9099003,6809,15,37413,1047313,83663,15548,172301,22248,122.38824,3412.79905,40490,45701,107101,149195,87,305417,396083,44222,2852.50091,481287,95,90.18,3.7,99.65,NA
